SN,true_label,prediction,modality,kfold_of_pred
45,ZTF21aaaosoq_0,0,0,lightcurve,0
46,ZTF21aaaosoq_0,0,0,spectral,0
47,ZTF21aaaosoq_0,0,0,lightcurveandspectral,0
48,ZTF21aaaosoq_1,0,0,lightcurve,0
49,ZTF21aaaosoq_1,0,0,spectral,0
50,ZTF21aaaosoq_1,0,0,lightcurveandspectral,0
51,ZTF21aahdqrg_0,0,1,lightcurve,0
52,ZTF21aahdqrg_0,0,0,spectral,0
53,ZTF21aahdqrg_0,0,1,lightcurveandspectral,0
54,ZTF22aasxgjp_3,1,1,lightcurve,0
55,ZTF22aasxgjp_3,1,1,spectral,0
56,ZTF22aasxgjp_3,1,1,lightcurveandspectral,0
57,ZTF22aasxgjp_4,1,1,lightcurve,0
58,ZTF22aasxgjp_4,1,0,spectral,0
59,ZTF22aasxgjp_4,1,1,lightcurveandspectral,0
60,ZTF22aasxgjp_5,1,1,lightcurve,0
61,ZTF22aasxgjp_5,1,1,spectral,0
62,ZTF22aasxgjp_5,1,1,lightcurveandspectral,0
63,ZTF22aasxgjp_6,1,1,lightcurve,0
64,ZTF22aasxgjp_6,1,1,spectral,0
65,ZTF22aasxgjp_6,1,1,lightcurveandspectral,0
66,ZTF22aasxgjp_7,1,1,lightcurve,0
67,ZTF22aasxgjp_7,1,1,spectral,0
68,ZTF22aasxgjp_7,1,1,lightcurveandspectral,0
69,ZTF22aasxgjp_8,1,1,lightcurve,0
70,ZTF22aasxgjp_8,1,1,spectral,0
71,ZTF22aasxgjp_8,1,1,lightcurveandspectral,0
72,ZTF22aasxgjp_9,1,1,lightcurve,0
73,ZTF22aasxgjp_9,1,1,spectral,0
74,ZTF22aasxgjp_9,1,1,lightcurveandspectral,0
75,ZTF22aatunnt_0,0,0,lightcurve,0
76,ZTF22aatunnt_0,0,0,spectral,0
77,ZTF22aatunnt_0,0,0,lightcurveandspectral,0
78,ZTF22aaxtias_0,0,1,lightcurve,0
79,ZTF22aaxtias_0,0,1,spectral,0
80,ZTF22aaxtias_0,0,1,lightcurveandspectral,0
81,ZTF23aaaprhz_0,0,1,lightcurve,0
82,ZTF23aaaprhz_0,0,0,spectral,0
83,ZTF23aaaprhz_0,0,0,lightcurveandspectral,0
84,ZTF23aaawbsc_0,1,1,lightcurve,0
85,ZTF23aaawbsc_0,1,0,spectral,0
86,ZTF23aaawbsc_0,1,1,lightcurveandspectral,0
87,ZTF23aaawbsc_1,1,1,lightcurve,0
88,ZTF23aaawbsc_1,1,0,spectral,0
89,ZTF23aaawbsc_1,1,1,lightcurveandspectral,0
90,ZTF22abllclb_0,0,0,lightcurve,1
91,ZTF22abllclb_0,0,0,spectral,1
92,ZTF22abllclb_0,0,0,lightcurveandspectral,1
93,ZTF22abxlfpl_0,0,0,lightcurve,1
94,ZTF22abxlfpl_0,0,0,spectral,1
95,ZTF22abxlfpl_0,0,0,lightcurveandspectral,1
96,ZTF22abztcly_0,0,0,lightcurve,1
97,ZTF22abztcly_0,0,0,spectral,1
98,ZTF22abztcly_0,0,1,lightcurveandspectral,1
99,ZTF23aaawbsc_21,1,1,lightcurve,1
100,ZTF23aaawbsc_21,1,1,spectral,1
101,ZTF23aaawbsc_21,1,1,lightcurveandspectral,1
102,ZTF23aaawbsc_22,1,1,lightcurve,1
103,ZTF23aaawbsc_22,1,1,spectral,1
104,ZTF23aaawbsc_22,1,1,lightcurveandspectral,1
105,ZTF23aaawbsc_3,1,1,lightcurve,1
106,ZTF23aaawbsc_3,1,1,spectral,1
107,ZTF23aaawbsc_3,1,1,lightcurveandspectral,1
108,ZTF23aaawbsc_4,1,1,lightcurve,1
109,ZTF23aaawbsc_4,1,1,spectral,1
110,ZTF23aaawbsc_4,1,1,lightcurveandspectral,1
111,ZTF23aaawbsc_5,1,1,lightcurve,1
112,ZTF23aaawbsc_5,1,1,spectral,1
113,ZTF23aaawbsc_5,1,1,lightcurveandspectral,1
114,ZTF23aaawbsc_6,1,1,lightcurve,1
115,ZTF23aaawbsc_6,1,1,spectral,1
116,ZTF23aaawbsc_6,1,1,lightcurveandspectral,1
117,ZTF23aaawbsc_7,1,1,lightcurve,1
118,ZTF23aaawbsc_7,1,1,spectral,1
119,ZTF23aaawbsc_7,1,1,lightcurveandspectral,1
120,ZTF23aaawbsc_8,1,1,lightcurve,1
121,ZTF23aaawbsc_8,1,1,spectral,1
122,ZTF23aaawbsc_8,1,1,lightcurveandspectral,1
123,ZTF23aaawbsc_9,1,1,lightcurve,1
124,ZTF23aaawbsc_9,1,1,spectral,1
125,ZTF23aaawbsc_9,1,1,lightcurveandspectral,1
126,ZTF23aaazffe_0,0,1,lightcurve,1
127,ZTF23aaazffe_0,0,0,spectral,1
128,ZTF23aaazffe_0,0,1,lightcurveandspectral,1
129,ZTF23aaialcw_0,1,0,lightcurve,1
130,ZTF23aaialcw_0,1,1,spectral,1
131,ZTF23aaialcw_0,1,1,lightcurveandspectral,1
132,ZTF23aajakys_0,0,0,lightcurve,1
133,ZTF23aajakys_0,0,0,spectral,1
134,ZTF23aajakys_0,0,0,lightcurveandspectral,1
135,ZTF23aajpxbm_0,0,0,lightcurve,1
136,ZTF23aajpxbm_0,0,0,spectral,1
137,ZTF23aajpxbm_0,0,0,lightcurveandspectral,1
138,ZTF23aapuknd_0,0,0,lightcurve,1
139,ZTF23aapuknd_0,0,1,spectral,1
140,ZTF23aapuknd_0,0,0,lightcurveandspectral,1
141,ZTF23aazjwtl_0,1,0,lightcurve,1
142,ZTF23aazjwtl_0,1,1,spectral,1
143,ZTF23aazjwtl_0,1,1,lightcurveandspectral,1
144,ZTF23aazuzip_0,0,0,lightcurve,1
145,ZTF23aazuzip_0,0,1,spectral,1
146,ZTF23aazuzip_0,0,0,lightcurveandspectral,1
147,ZTF23abbpswf_0,0,0,lightcurve,1
148,ZTF23abbpswf_0,0,0,spectral,1
149,ZTF23abbpswf_0,0,0,lightcurveandspectral,1
150,ZTF23abhyxpr_0,0,0,lightcurve,1
151,ZTF23abhyxpr_0,0,1,spectral,1
152,ZTF23abhyxpr_0,0,0,lightcurveandspectral,1
153,ZTF23abjrolk_0,0,0,lightcurve,1
154,ZTF23abjrolk_0,0,0,spectral,1
155,ZTF23abjrolk_0,0,0,lightcurveandspectral,1
156,ZTF24aaymkrs_0,0,0,lightcurve,1
157,ZTF24aaymkrs_0,0,0,spectral,1
158,ZTF24aaymkrs_0,0,0,lightcurveandspectral,1
159,ZTF24abpdzvm_0,1,0,lightcurve,1
160,ZTF24abpdzvm_0,1,0,spectral,1
161,ZTF24abpdzvm_0,1,0,lightcurveandspectral,1
162,ZTF24abqqven_0,0,0,lightcurve,1
163,ZTF24abqqven_0,0,0,spectral,1
164,ZTF24abqqven_0,0,0,lightcurveandspectral,1
165,ZTF24absznoi_0,0,0,lightcurve,1
166,ZTF24absznoi_0,0,0,spectral,1
167,ZTF24absznoi_0,0,0,lightcurveandspectral,1
168,ZTF24abtnkbi_0,0,0,lightcurve,1
169,ZTF24abtnkbi_0,0,0,spectral,1
170,ZTF24abtnkbi_0,0,0,lightcurveandspectral,1
171,ZTF24abzgggz_0,0,0,lightcurve,1
172,ZTF24abzgggz_0,0,0,spectral,1
173,ZTF24abzgggz_0,0,0,lightcurveandspectral,1
174,ZTF24abzmhtv_0,0,0,lightcurve,1
175,ZTF24abzmhtv_0,0,0,spectral,1
176,ZTF24abzmhtv_0,0,0,lightcurveandspectral,1
177,ZTF25aadnogd_0,1,0,lightcurve,1
178,ZTF25aadnogd_0,1,0,spectral,1
179,ZTF25aadnogd_0,1,1,lightcurveandspectral,1
180,ZTF19aarfyvc_0,0,0,lightcurve,2
181,ZTF19aarfyvc_0,0,1,spectral,2
182,ZTF19aarfyvc_0,0,1,lightcurveandspectral,2
183,ZTF19aarnqys_0,0,0,lightcurve,2
184,ZTF19aarnqys_0,0,0,spectral,2
185,ZTF19aarnqys_0,0,0,lightcurveandspectral,2
186,ZTF19aatheus_0,0,0,lightcurve,2
187,ZTF19aatheus_0,0,0,spectral,2
188,ZTF19aatheus_0,0,0,lightcurveandspectral,2
189,ZTF19aavoweu_0,0,0,lightcurve,2
190,ZTF19aavoweu_0,0,0,spectral,2
191,ZTF19aavoweu_0,0,0,lightcurveandspectral,2
192,ZTF19aaznwze_0,1,0,lightcurve,2
193,ZTF19aaznwze_0,1,1,spectral,2
194,ZTF19aaznwze_0,1,1,lightcurveandspectral,2
195,ZTF19abafmwj_0,0,0,lightcurve,2
196,ZTF19abafmwj_0,0,1,spectral,2
197,ZTF19abafmwj_0,0,1,lightcurveandspectral,2
198,ZTF19abcyqqg_0,0,1,lightcurve,2
199,ZTF19abcyqqg_0,0,0,spectral,2
200,ZTF19abcyqqg_0,0,1,lightcurveandspectral,2
201,ZTF19abfiqjg_0,0,0,lightcurve,2
202,ZTF19abfiqjg_0,0,0,spectral,2
203,ZTF19abfiqjg_0,0,0,lightcurveandspectral,2
204,ZTF19abqmsnk_0,0,0,lightcurve,2
205,ZTF19abqmsnk_0,0,0,spectral,2
206,ZTF19abqmsnk_0,0,0,lightcurveandspectral,2
207,ZTF19abvdgqo_0,0,0,lightcurve,2
208,ZTF19abvdgqo_0,0,0,spectral,2
209,ZTF19abvdgqo_0,0,0,lightcurveandspectral,2
210,ZTF19abxtcio_0,0,0,lightcurve,2
211,ZTF19abxtcio_0,0,1,spectral,2
212,ZTF19abxtcio_0,0,1,lightcurveandspectral,2
213,ZTF19aceshib_0,0,0,lightcurve,2
214,ZTF19aceshib_0,0,1,spectral,2
215,ZTF19aceshib_0,0,0,lightcurveandspectral,2
216,ZTF19ackjjwf_0,0,0,lightcurve,2
217,ZTF19ackjjwf_0,0,0,spectral,2
218,ZTF19ackjjwf_0,0,0,lightcurveandspectral,2
219,ZTF19acmelor_0,0,0,lightcurve,2
220,ZTF19acmelor_0,0,0,spectral,2
221,ZTF19acmelor_0,0,0,lightcurveandspectral,2
222,ZTF20aaekkuv_0,0,0,lightcurve,2
223,ZTF20aaekkuv_0,0,0,spectral,2
224,ZTF20aaekkuv_0,0,0,lightcurveandspectral,2
225,ZTF20aaerxne_0,0,1,lightcurve,2
226,ZTF20aaerxne_0,0,1,spectral,2
227,ZTF20aaerxne_0,0,1,lightcurveandspectral,2
228,ZTF20aahggbm_1,0,0,lightcurve,2
229,ZTF20aahggbm_1,0,0,spectral,2
230,ZTF20aahggbm_1,0,0,lightcurveandspectral,2
231,ZTF20aalrqbu_5,1,0,lightcurve,2
232,ZTF20aalrqbu_5,1,0,spectral,2
233,ZTF20aalrqbu_5,1,0,lightcurveandspectral,2
234,ZTF20aammtwx_0,0,0,lightcurve,2
235,ZTF20aammtwx_0,0,0,spectral,2
236,ZTF20aammtwx_0,0,0,lightcurveandspectral,2
237,ZTF20acgiglu_0,1,0,lightcurve,2
238,ZTF20acgiglu_0,1,0,spectral,2
239,ZTF20acgiglu_0,1,0,lightcurveandspectral,2
240,ZTF20aclnplo_0,1,0,lightcurve,2
241,ZTF20aclnplo_0,1,0,spectral,2
242,ZTF20aclnplo_0,1,0,lightcurveandspectral,2
243,ZTF20adadlqm_0,1,1,lightcurve,2
244,ZTF20adadlqm_0,1,0,spectral,2
245,ZTF20adadlqm_0,1,0,lightcurveandspectral,2
246,ZTF21aarnjyd_0,1,1,lightcurve,2
247,ZTF21aarnjyd_0,1,1,spectral,2
248,ZTF21aarnjyd_0,1,1,lightcurveandspectral,2
249,ZTF22aasxgjp_10,1,1,lightcurve,2
250,ZTF22aasxgjp_10,1,1,spectral,2
251,ZTF22aasxgjp_10,1,1,lightcurveandspectral,2
252,ZTF22aasxgjp_11,1,1,lightcurve,2
253,ZTF22aasxgjp_11,1,0,spectral,2
254,ZTF22aasxgjp_11,1,1,lightcurveandspectral,2
255,ZTF22aasxgjp_12,1,1,lightcurve,2
256,ZTF22aasxgjp_12,1,1,spectral,2
257,ZTF22aasxgjp_12,1,1,lightcurveandspectral,2
258,ZTF22aasxgjp_13,1,1,lightcurve,2
259,ZTF22aasxgjp_13,1,1,spectral,2
260,ZTF22aasxgjp_13,1,1,lightcurveandspectral,2
261,ZTF22aasxgjp_14,1,1,lightcurve,2
262,ZTF22aasxgjp_14,1,0,spectral,2
263,ZTF22aasxgjp_14,1,1,lightcurveandspectral,2
264,ZTF22aasxgjp_15,1,1,lightcurve,2
265,ZTF22aasxgjp_15,1,0,spectral,2
266,ZTF22aasxgjp_15,1,1,lightcurveandspectral,2
267,ZTF22aasxgjp_2,1,1,lightcurve,2
268,ZTF22aasxgjp_2,1,1,spectral,2
269,ZTF22aasxgjp_2,1,1,lightcurveandspectral,2
270,ZTF21aaxxmvs_0,0,0,lightcurve,3
271,ZTF21aaxxmvs_0,0,1,spectral,3
272,ZTF21aaxxmvs_0,0,1,lightcurveandspectral,3
273,ZTF21aayddkn_0,0,0,lightcurve,3
274,ZTF21aayddkn_0,0,1,spectral,3
275,ZTF21aayddkn_0,0,0,lightcurveandspectral,3
276,ZTF21aayfnjz_0,0,0,lightcurve,3
277,ZTF21aayfnjz_0,0,1,spectral,3
278,ZTF21aayfnjz_0,0,1,lightcurveandspectral,3
279,ZTF21aayqrgx_0,0,1,lightcurve,3
280,ZTF21aayqrgx_0,0,1,spectral,3
281,ZTF21aayqrgx_0,0,0,lightcurveandspectral,3
282,ZTF21abahiow_0,0,0,lightcurve,3
283,ZTF21abahiow_0,0,0,spectral,3
284,ZTF21abahiow_0,0,0,lightcurveandspectral,3
285,ZTF21abcrhpk_0,0,0,lightcurve,3
286,ZTF21abcrhpk_0,0,0,spectral,3
287,ZTF21abcrhpk_0,0,1,lightcurveandspectral,3
288,ZTF21abimeun_0,0,0,lightcurve,3
289,ZTF21abimeun_0,0,0,spectral,3
290,ZTF21abimeun_0,0,0,lightcurveandspectral,3
291,ZTF21abqvzjy_0,0,0,lightcurve,3
292,ZTF21abqvzjy_0,0,1,spectral,3
293,ZTF21abqvzjy_0,0,1,lightcurveandspectral,3
294,ZTF21abrfvax_0,0,0,lightcurve,3
295,ZTF21abrfvax_0,0,0,spectral,3
296,ZTF21abrfvax_0,0,0,lightcurveandspectral,3
297,ZTF21abrqrsz_0,0,0,lightcurve,3
298,ZTF21abrqrsz_0,0,0,spectral,3
299,ZTF21abrqrsz_0,0,0,lightcurveandspectral,3
300,ZTF21acdxhuv_0,0,0,lightcurve,3
301,ZTF21acdxhuv_0,0,0,spectral,3
302,ZTF21acdxhuv_0,0,0,lightcurveandspectral,3
303,ZTF22aagzmcz_0,0,1,lightcurve,3
304,ZTF22aagzmcz_0,0,0,spectral,3
305,ZTF22aagzmcz_0,0,1,lightcurveandspectral,3
306,ZTF22aalfmec_0,0,1,lightcurve,3
307,ZTF22aalfmec_0,0,0,spectral,3
308,ZTF22aalfmec_0,0,0,lightcurveandspectral,3
309,ZTF22aaoolua_0,0,0,lightcurve,3
310,ZTF22aaoolua_0,0,0,spectral,3
311,ZTF22aaoolua_0,0,0,lightcurveandspectral,3
312,ZTF22aasxgjp_0,1,1,lightcurve,3
313,ZTF22aasxgjp_0,1,0,spectral,3
314,ZTF22aasxgjp_0,1,1,lightcurveandspectral,3
315,ZTF22aasxgjp_1,1,1,lightcurve,3
316,ZTF22aasxgjp_1,1,0,spectral,3
317,ZTF22aasxgjp_1,1,1,lightcurveandspectral,3
318,ZTF22aaxtias_1,0,1,lightcurve,3
319,ZTF22aaxtias_1,0,0,spectral,3
320,ZTF22aaxtias_1,0,1,lightcurveandspectral,3
321,ZTF22aazqoey_0,0,0,lightcurve,3
322,ZTF22aazqoey_0,0,1,spectral,3
323,ZTF22aazqoey_0,0,0,lightcurveandspectral,3
324,ZTF23aaawbsc_10,1,1,lightcurve,3
325,ZTF23aaawbsc_10,1,0,spectral,3
326,ZTF23aaawbsc_10,1,1,lightcurveandspectral,3
327,ZTF23aaawbsc_11,1,1,lightcurve,3
328,ZTF23aaawbsc_11,1,0,spectral,3
329,ZTF23aaawbsc_11,1,1,lightcurveandspectral,3
330,ZTF23aaawbsc_12,1,1,lightcurve,3
331,ZTF23aaawbsc_12,1,1,spectral,3
332,ZTF23aaawbsc_12,1,1,lightcurveandspectral,3
333,ZTF23aaawbsc_13,1,1,lightcurve,3
334,ZTF23aaawbsc_13,1,1,spectral,3
335,ZTF23aaawbsc_13,1,1,lightcurveandspectral,3
336,ZTF23aaawbsc_14,1,1,lightcurve,3
337,ZTF23aaawbsc_14,1,0,spectral,3
338,ZTF23aaawbsc_14,1,1,lightcurveandspectral,3
339,ZTF23aaawbsc_15,1,1,lightcurve,3
340,ZTF23aaawbsc_15,1,1,spectral,3
341,ZTF23aaawbsc_15,1,1,lightcurveandspectral,3
342,ZTF23aaawbsc_16,1,1,lightcurve,3
343,ZTF23aaawbsc_16,1,1,spectral,3
344,ZTF23aaawbsc_16,1,1,lightcurveandspectral,3
345,ZTF23aaawbsc_17,1,1,lightcurve,3
346,ZTF23aaawbsc_17,1,1,spectral,3
347,ZTF23aaawbsc_17,1,1,lightcurveandspectral,3
348,ZTF23aaawbsc_18,1,1,lightcurve,3
349,ZTF23aaawbsc_18,1,1,spectral,3
350,ZTF23aaawbsc_18,1,1,lightcurveandspectral,3
351,ZTF23aaawbsc_19,1,1,lightcurve,3
352,ZTF23aaawbsc_19,1,1,spectral,3
353,ZTF23aaawbsc_19,1,1,lightcurveandspectral,3
354,ZTF23aaawbsc_2,1,1,lightcurve,3
355,ZTF23aaawbsc_2,1,1,spectral,3
356,ZTF23aaawbsc_2,1,1,lightcurveandspectral,3
357,ZTF23aaawbsc_20,1,1,lightcurve,3
358,ZTF23aaawbsc_20,1,0,spectral,3
359,ZTF23aaawbsc_20,1,1,lightcurveandspectral,3
360,ZTF18aahhzqn_0,1,0,lightcurve,4
361,ZTF18aahhzqn_0,1,1,spectral,4
362,ZTF18aahhzqn_0,1,0,lightcurveandspectral,4
363,ZTF18aahuujv_0,0,0,lightcurve,4
364,ZTF18aahuujv_0,0,0,spectral,4
365,ZTF18aahuujv_0,0,1,lightcurveandspectral,4
366,ZTF18aakuewf_0,0,0,lightcurve,4
367,ZTF18aakuewf_0,0,0,spectral,4
368,ZTF18aakuewf_0,0,1,lightcurveandspectral,4
369,ZTF18abojpnr_0,0,0,lightcurve,4
370,ZTF18abojpnr_0,0,0,spectral,4
371,ZTF18abojpnr_0,0,1,lightcurveandspectral,4
372,ZTF18abojpnr_1,0,0,lightcurve,4
373,ZTF18abojpnr_1,0,0,spectral,4
374,ZTF18abojpnr_1,0,0,lightcurveandspectral,4
375,ZTF18absliyc_0,0,0,lightcurve,4
376,ZTF18absliyc_0,0,0,spectral,4
377,ZTF18absliyc_0,0,0,lightcurveandspectral,4
378,ZTF18abwkrbl_0,0,0,lightcurve,4
379,ZTF18abwkrbl_0,0,0,spectral,4
380,ZTF18abwkrbl_0,0,0,lightcurveandspectral,4
381,ZTF18abwkrbl_1,0,0,lightcurve,4
382,ZTF18abwkrbl_1,0,0,spectral,4
383,ZTF18abwkrbl_1,0,0,lightcurveandspectral,4
384,ZTF18acisruf_0,0,0,lightcurve,4
385,ZTF18acisruf_0,0,0,spectral,4
386,ZTF18acisruf_0,0,0,lightcurveandspectral,4
387,ZTF18acnmifq_0,0,0,lightcurve,4
388,ZTF18acnmifq_0,0,1,spectral,4
389,ZTF18acnmifq_0,0,1,lightcurveandspectral,4
390,ZTF18acqphpd_0,0,0,lightcurve,4
391,ZTF18acqphpd_0,0,0,spectral,4
392,ZTF18acqphpd_0,0,0,lightcurveandspectral,4
393,ZTF18acrcyqw_0,0,0,lightcurve,4
394,ZTF18acrcyqw_0,0,0,spectral,4
395,ZTF18acrcyqw_0,0,0,lightcurveandspectral,4
396,ZTF18aczqzrj_0,0,0,lightcurve,4
397,ZTF18aczqzrj_0,0,1,spectral,4
398,ZTF18aczqzrj_0,0,0,lightcurveandspectral,4
399,ZTF19aadwtoe_0,0,0,lightcurve,4
400,ZTF19aadwtoe_0,0,0,spectral,4
401,ZTF19aadwtoe_0,0,0,lightcurveandspectral,4
402,ZTF19aadwtoe_1,0,0,lightcurve,4
403,ZTF19aadwtoe_1,0,0,spectral,4
404,ZTF19aadwtoe_1,0,0,lightcurveandspectral,4
405,ZTF19aalouag_0,0,0,lightcurve,4
406,ZTF19aalouag_0,0,1,spectral,4
407,ZTF19aalouag_0,0,1,lightcurveandspectral,4
408,ZTF19aamsetj_0,1,0,lightcurve,4
409,ZTF19aamsetj_0,1,0,spectral,4
410,ZTF19aamsetj_0,1,0,lightcurveandspectral,4
411,ZTF19aanijpu_0,1,0,lightcurve,4
412,ZTF19aanijpu_0,1,0,spectral,4
413,ZTF19aanijpu_0,1,0,lightcurveandspectral,4
414,ZTF19aapceyj_0,0,1,lightcurve,4
415,ZTF19aapceyj_0,0,1,spectral,4
416,ZTF19aapceyj_0,0,0,lightcurveandspectral,4
417,ZTF19aapfmki_0,0,0,lightcurve,4
418,ZTF19aapfmki_0,0,1,spectral,4
419,ZTF19aapfmki_0,0,1,lightcurveandspectral,4
420,ZTF19aawethv_0,0,0,lightcurve,4
421,ZTF19aawethv_0,0,0,spectral,4
422,ZTF19aawethv_0,0,0,lightcurveandspectral,4
423,ZTF19ackjszs_0,1,1,lightcurve,4
424,ZTF19ackjszs_0,1,1,spectral,4
425,ZTF19ackjszs_0,1,1,lightcurveandspectral,4
426,ZTF19ackjszs_1,1,1,lightcurve,4
427,ZTF19ackjszs_1,1,1,spectral,4
428,ZTF19ackjszs_1,1,1,lightcurveandspectral,4
429,ZTF19ackjszs_2,1,1,lightcurve,4
430,ZTF19ackjszs_2,1,1,spectral,4
431,ZTF19ackjszs_2,1,1,lightcurveandspectral,4
432,ZTF19acxpuql_0,1,0,lightcurve,4
433,ZTF19acxpuql_0,1,0,spectral,4
434,ZTF19acxpuql_0,1,0,lightcurveandspectral,4
435,ZTF20aahggbm_0,0,0,lightcurve,4
436,ZTF20aahggbm_0,0,0,spectral,4
437,ZTF20aahggbm_0,0,0,lightcurveandspectral,4
438,ZTF20aalrqbu_1,1,0,lightcurve,4
439,ZTF20aalrqbu_1,1,0,spectral,4
440,ZTF20aalrqbu_1,1,0,lightcurveandspectral,4
441,ZTF20aalrqbu_2,1,0,lightcurve,4
442,ZTF20aalrqbu_2,1,1,spectral,4
443,ZTF20aalrqbu_2,1,0,lightcurveandspectral,4
444,ZTF20aalrqbu_3,1,0,lightcurve,4
445,ZTF20aalrqbu_3,1,1,spectral,4
446,ZTF20aalrqbu_3,1,0,lightcurveandspectral,4
447,ZTF20aalrqbu_4,1,0,lightcurve,4
448,ZTF20aalrqbu_4,1,0,spectral,4
449,ZTF20aalrqbu_4,1,0,lightcurveandspectral,4
