SN,true_label,prediction,modality,kfold_of_pred,kfold_for_val,type,simulated
ZTF20sbws00x_0,1,1.0,lightcurve,0,0,SN IIb,True
ZTF20sbws01x_0,1,1.0,lightcurve,0,0,SN IIb,True
ZTF20sbws08x_0,1,1.0,lightcurve,0,0,SN IIb,True
ZTF20sbws09x_0,1,1.0,lightcurve,0,0,SN IIb,True
ZTF20sbws14x_0,1,0.0,lightcurve,0,0,SN IIb,True
ZTF20sbws23x_0,1,0.0,lightcurve,0,0,SN IIb,True
ZTF20sbws24x_0,1,0.0,lightcurve,0,0,SN IIb,True
ZTF20sbws25x_0,1,0.0,lightcurve,0,0,SN IIb,True
ZTF20sbws28x_0,1,1.0,lightcurve,0,0,SN IIb,True
ZTF20sbws29x_0,1,0.0,lightcurve,0,0,SN IIb,True
ZTF20acgiglu_0,1,1.0,lightcurve,1,1,SN IIb,False
ZTF20urcs04x_0,1,1.0,lightcurve,1,1,SN IIb,True
ZTF20urcs09x_0,1,0.0,lightcurve,1,1,SN IIb,True
ZTF20urcs15x_0,1,1.0,lightcurve,1,1,SN IIb,True
ZTF21aahdqrg_0,0,1.0,lightcurve,1,1,SN Ic,False
ZTF21aaqhhfu_0,1,0.0,lightcurve,1,1,SN IIb,False
ZTF21aarnjyd_0,0,0.0,lightcurve,1,1,SN Ib,False
ZTF21aaxxmvs_0,0,0.0,lightcurve,1,1,SN IIb,False
ZTF21aayddkn_0,0,0.0,lightcurve,1,1,SN Ib,False
ZTF21aayqrgx_0,0,1.0,lightcurve,1,1,SN Ib,False
ZTF21abahiow_0,0,1.0,lightcurve,1,1,SN Ib,False
ZTF21abcrhpk_0,0,1.0,lightcurve,1,1,SN Ic,False
ZTF21abimeun_0,0,0.0,lightcurve,1,1,SN Ib,False
ZTF21acdxhuv_0,0,0.0,lightcurve,1,1,SN Ib,False
ZTF21gnos02x_0,1,1.0,lightcurve,1,1,SN IIb,True
ZTF21gnos07x_0,1,1.0,lightcurve,1,1,SN IIb,True
ZTF21gnos13x_0,1,1.0,lightcurve,1,1,SN IIb,True
ZTF21gnos14x_0,1,1.0,lightcurve,1,1,SN IIb,True
ZTF21gnos20x_0,1,1.0,lightcurve,1,1,SN IIb,True
ZTF21gnos24x_0,1,1.0,lightcurve,1,1,SN IIb,True
ZTF21gnos27x_0,1,1.0,lightcurve,1,1,SN IIb,True
ZTF21pbs08xx_0,1,1.0,lightcurve,1,1,SN IIb,True
ZTF21pbs22xx_0,1,1.0,lightcurve,1,1,SN IIb,True
ZTF22aafrjnw_0,1,0.0,lightcurve,1,1,SN IIb,False
ZTF22aafrjnw_1,1,0.0,lightcurve,1,1,SN IIb,False
ZTF22aagzmcz_0,0,1.0,lightcurve,1,1,SN Ic,False
ZTF22aasxgjp_0,0,0.0,lightcurve,1,1,SN Ic,False
ZTF22aasxgjp_1,0,0.0,lightcurve,1,1,SN Ic,False
ZTF22aasxgjp_2,0,0.0,lightcurve,1,1,SN Ic,False
ZTF22aatunnt_0,0,0.0,lightcurve,1,1,SN Ib,False
ZTF22abztcly_0,0,0.0,lightcurve,1,1,SN Ic,False
ZTF22hnts12x_0,1,1.0,lightcurve,1,1,SN IIb,True
ZTF22qzrs05x_0,1,0.0,lightcurve,1,1,SN IIb,True
ZTF22qzrs25x_0,1,0.0,lightcurve,1,1,SN IIb,True
ZTF23aaazffe_0,0,1.0,lightcurve,1,1,SN Ic,False
ZTF23aajakys_0,0,1.0,lightcurve,1,1,SN Ic,False
ZTF23aazjwtl_0,1,1.0,lightcurve,1,1,SN IIb,False
ZTF23aazuzip_0,0,0.0,lightcurve,1,1,SN Ib,False
ZTF23abbpswf_0,0,0.0,lightcurve,1,1,SN Ib,False
ZTF19ackjszs_0,1,1.0,lightcurve,2,2,SN Ib,False
ZTF19ackjszs_1,1,1.0,lightcurve,2,2,SN Ib,False
ZTF19ackjszs_2,1,1.0,lightcurve,2,2,SN Ib,False
ZTF20aaekkuv_0,0,1.0,lightcurve,2,2,SN Ic,False
ZTF20aahggbm_0,0,0.0,lightcurve,2,2,SN Ic,False
ZTF20aahggbm_1,0,0.0,lightcurve,2,2,SN Ic,False
ZTF20aahggbm_2,0,0.0,lightcurve,2,2,SN Ic,False
ZTF20aalcyih_0,0,1.0,lightcurve,2,2,SN Ib,False
ZTF20aammtwx_0,0,1.0,lightcurve,2,2,SN Ic,False
ZTF20aaurfnl_0,0,0.0,lightcurve,2,2,SN Ic,False
ZTF20aauwhfa_0,0,1.0,lightcurve,2,2,SN Ic,False
ZTF20aavzffg_0,0,0.0,lightcurve,2,2,SN Ib,False
ZTF20abeezca_0,0,0.0,lightcurve,2,2,SN Ic,False
ZTF20abkiarz_0,0,0.0,lightcurve,2,2,SN Ic,False
ZTF20abtkjfw_0,0,0.0,lightcurve,2,2,SN Ic,False
ZTF20abxpoxd_0,0,0.0,lightcurve,2,2,SN Ic,False
ZTF20acfqngt_0,0,0.0,lightcurve,2,2,SN Ic,False
ZTF20aclnplo_0,0,0.0,lightcurve,2,2,SN Ic,False
ZTF20adadlqm_0,1,0.0,lightcurve,2,2,SN IIb,False
ZTF20adnxs21_0,1,1.0,lightcurve,2,2,SN IIb,True
ZTF20ikqs02x_0,1,1.0,lightcurve,2,2,SN IIb,True
ZTF20ikqs06x_0,1,1.0,lightcurve,2,2,SN IIb,True
ZTF20ikqs10x_0,1,1.0,lightcurve,2,2,SN IIb,True
ZTF20ikqs12x_0,1,1.0,lightcurve,2,2,SN IIb,True
ZTF20ikqs13x_0,1,1.0,lightcurve,2,2,SN IIb,True
ZTF23aaialcw_0,1,1.0,lightcurve,2,2,SN IIb,False
ZTF23abjrolk_0,0,0.0,lightcurve,2,2,SN Ic,False
ZTF23gwls04x_0,1,1.0,lightcurve,2,2,SN IIb,True
ZTF23gwls05x_0,1,1.0,lightcurve,2,2,SN IIb,True
ZTF23gwls06x_0,1,1.0,lightcurve,2,2,SN IIb,True
ZTF23gwls10x_0,1,0.0,lightcurve,2,2,SN IIb,True
ZTF23gwls16x_0,1,1.0,lightcurve,2,2,SN IIb,True
ZTF23gwls19x_0,1,1.0,lightcurve,2,2,SN IIb,True
ZTF24aaymkrs_0,0,0.0,lightcurve,2,2,SN Ib,False
ZTF24abpdzvm_0,1,0.0,lightcurve,2,2,SN IIb,False
ZTF24abqqven_0,0,0.0,lightcurve,2,2,SN Ib,False
ZTF24absznoi_0,0,1.0,lightcurve,2,2,SN Ic,False
ZTF24zsws21x_0,1,1.0,lightcurve,2,2,SN IIb,True
ZTF25aadnogd_0,0,0.0,lightcurve,2,2,SN Ic,False
